Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,300.0,8.0,27.0,1281.0,0.1,14.004999999999995,0.0,0.0,226.72196531295776,,,,,,,,,,,,,,,,,,,,,4.5918320791994125,4.860250132966158,13.908824273584514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,331.0,9.0,31.0,1312.0,0.1,16.605000000000015,0.0,0.0,229.93310713768005,,,,,,,,,,,,,,,,,,,,,5.4740579719204066,5.686651505899271,16.46822418301231,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,407.0,10.0,76.0,1388.0,0.1,44.005999999999986,0.0,0.0,237.51442503929138,,,,,,,,,,,,,,,,,,,,,20.190638010929625,13.238584454927185,42.55658211882489,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,437.0,11.0,30.0,1418.0,0.1,13.705999999999994,0.0,0.0,241.01604390144348,,,,,,,,,,,,,,,,,,,,,4.089971702937086,4.633464842907192,13.610508254913462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,464.0,12.0,27.0,1445.0,0.1,10.706999999999994,0.0,0.0,244.3246648311615,,,,,,,,,,,,,,,,,,,,,2.9158729391633327,3.6259630184384424,10.649559900884459,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,507.0,13.0,43.0,1488.0,0.1,29.605000000000015,0.0,0.0,249.11799097061157,,,,,,,,,,,,,,,,,,,,,11.223579202528105,10.039246453254501,29.180718350273494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,528.0,14.0,21.0,1509.0,0.1,8.504999999999995,0.0,0.0,251.70670437812805,,,,,,,,,,,,,,,,,,,,,2.5195530929969054,2.964331928310053,8.469018953935985,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,569.0,15.0,41.0,1550.0,0.1,20.70900000000002,0.0,0.0,256.1214909553528,,,,,,,,,,,,,,,,,,,,,6.259634006892933,6.937749218441797,20.49332115470565,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,697.0,16.0,128.0,1678.0,0.1,69.50600000000001,0.0,0.0,268.21737933158875,,,,,,,,,,,,,,,,,,,,,29.536383487549543,18.63657568889449,65.85699103867998,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,726.0,17.0,29.0,1707.0,0.1,13.804999999999994,0.0,0.0,271.5836908817291,,,,,,,,,,,,,,,,,,,,,4.203131750268998,4.725358444409586,13.710516501729158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
